objectid,accident,agency,inv_date,complaint,injured,killed,min_inj,dis_inj,severity,county,city,troop,no_vehicle,motor_veh,left_scene,dist_feet,dist_mile,inter_loc,direction,on_street,at_street,light_cond,acc_type,on_off_rd,two_veh,day_week,dr_drink,dr_drug,ped_drink,ped_drug,speed,dr_under21,dr_under25,dr_over55,dr_over64,electrical,emer_veh,stop_sign,yield_sign,czone,hazmat,aggressive,cell_phone,texting,veh_defect,school_bus,truck,motorcycle,atv,pickup,cmv,gps_lat,gps_long,severity_fatal,acc_date,acc_time,narrative
1139713,3190011592,Missouri State Highway Patrol-Troop E,1556496000000,190234575,1,0,1,0,Personal Injury,BUTLER,NON-CITY OR UNINCORPORATED,E,1,1,0,277,0.05,B ,S ,US 67,BRIDGE A3273,Daylight,Fixed Object,2,,Mon     ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.90855,-90.47897,0,04/29/2019,15:34:00,STATE PROPERTY DAMAGE -80 FEET OF GUARDRAIL AND 8 POST DAMAGED - CRASH OCCURRED AS VEHICLE ONE TRAVELED OFF RIGHT SIDE OF ROADWAY AND STRUCK GUARDRAIL
1317444,3190011103,Missouri State Highway Patrol-Troop G,1556496000000,190234604,1,0,1,0,Personal Injury,OZARK,NON-CITY OR UNINCORPORATED,G,3,3,0,4752,0.9,A ,S ,MO 5,CRD 5-803 NJ,Daylight,Motor Vehicle in Transport,1,61,Mon     ,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,36.64602,-92.47243,0,04/29/2019,15:52:00,ACCIDENT OCCURRED AS VEHICLE 3 STRUCK VEHICLE 2 THAT WAS STATIONARY AT A ROAD CONSTRUCTION ZONE.  VEHICLE 2 THEN STRUCK STATIONAY VEHICLE 1.
1293339,3190010889,Missouri State Highway Patrol-Troop C,1556496000000,190234641,2,0,2,0,Personal Injury,ST. LOUIS,MARYLAND HEIGHTS,C,3,3,0,73,0.01,A ,E ,IS 270,CST MCKELVEY ROAD,Daylight,Motor Vehicle in Transport,1,61,Mon     ,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,38.74226,-90.44089,0,04/29/2019,16:07:00,ALL VEHICLES WERE NORTHBOUND ON I-270. DRIVERS 2 AND 3 BEGAN TO BRAKE. THE FRONT OF VEHICLE 1 STRUCK THE REAR OF VEHICLE 2 AND THE FRONT OF VEHICLE 2 STRUCK THE REAR OF VEHICLE 3. ASSISTED BY TPR. B. G. GROVES (837)
1030472,3190014148,Missouri State Highway Patrol-Troop I,1556496000000,190234662,0,1,0,0,Fatal,PULASKI,NON-CITY OR UNINCORPORATED,I,1,1,0,1029,0.19,B ,W ,CRD LEXINGTON ROAD,MO 17,Daylight,Overturn,2,,Mon     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,37.85285,-92.21601,1,04/29/2019,16:15:00,"FATALITY CRASH- NEXT OF KIN NOTIFIED- OCCURRED AS VEHICLE 1 TRAVELED OFF THE RIGHT SIDE OF THE ROADWAY, DOWN AN EMBANKMENT. VEHICLE 1  OVERTURNED,  STRIKING A TREE BEFORE COMING TO REST.  DRIVER  1 WAS PRONOUNCED AT THE SCENE AT 1739  HOURS BY PULASKI COUNTY CORONER N PAPPAS. THIS IS THE 5TH FATAL IN APRIL, AND 8TH FOR 2019.   ASSISTED BY CPT. J W REMILLARD (18), MSGT J H GLENDENNING (739), MSGT R A COPELAND (308), SGT S D RICHARDSON (753)  OF MICU CRASH TEAM #3, CPL J M HURT (1374), TPR J L LEATHERS (822), TPR G N WENSEL (1439)"
1210727,3190010832,Missouri State Highway Patrol-Troop C,1556496000000,190234707,3,0,3,0,Personal Injury,ST. LOUIS,BERKELEY,C,2,2,0,26,0,A ,W ,IS 70,RP 6187,Daylight,Motor Vehicle in Transport,1,63,Mon     ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38.73216,-90.33922,0,04/29/2019,16:40:00,BOTH VEHICLES WERE WESTBOUND ON I-70. VEHICLE 1 WAS IN LANE 3 AND VEHICLE 2 IN LANE 5. DRIVER 2 ATTEMPTED TO AVOID ANOTHER VEHICLE AND LOST CONTROL OF VEHICLE 2. THE FRONT OF VEHICLE 2 STRUCK THE REAR OF VEHICLE 1.  TPR. B. G. GROVES (837)
845891,3190011256,Missouri State Highway Patrol-Troop A,1556496000000,190234740,1,0,1,0,Personal Injury,JOHNSON,NON-CITY OR UNINCORPORATED,A,1,1,0,95,0.02,A ,N,CRD SW 101,CRD SW 400,Daylight,Fixed Object,2,,Mon     ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38.70324,-93.76743,0,04/29/2019,16:45:00,CRASH OCCURRED AS DVR1 LOST CONTROL OF VEH1 AND TRAVELED OFF THE ROADWAY.  VEH1 OVERTURNED AND CAME TO REST OFF THE ROADWAY.
1130774,3190010716,Missouri State Highway Patrol-Troop E,1556496000000,190234916,1,0,1,0,Personal Injury,CAPE GIRARDEAU,NON-CITY OR UNINCORPORATED,E,1,1,0,660,0.12,A ,W ,RT KK,CRD 413,Daylight,Fixed Object,2,,Mon     ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,37.56646,-89.78937,0,04/29/2019,18:15:00,"CRASH OCCURRED AS VEHICLE 1 RAN OFF THE RIGHT SIDE OF THE ROADWAY, STRUCK A CULVERT, BEGAN TO OVERTURN AND STRUCK A FENCE, THEN OVERTURNED IN A FIELD."
1269297,3190011152,Missouri State Highway Patrol-Troop C,1556496000000,190235010,1,0,1,0,Personal Injury,JEFFERSON,NON-CITY OR UNINCORPORATED,C,3,3,0,274,0.05,B ,S ,MO 141,CRD 13TH ST,Daylight,Motor Vehicle in Transport,1,61,Mon     ,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,38.48524,-90.44431,0,04/29/2019,19:25:00,"VEHICLES  #1 AND #2 WERE STOPPED AT A RED ELECTRIC SIGNAL ON SOUTHBOUND MISSOURI 141, AT 13TH STREET.  VEHICLE #3 WAS TRAVELING IN THE RIGHT LANE OF SOUTHBOUND MISSOURI 141.  THE FRONT OF VEHICLE #3 STRUCK THE REAR OF VEHICLE #2, AND THE FRONT OF VEHICLE #2 STRUCK THE REAR OF VEHICLE #1."
1305098,3190010808,Missouri State Highway Patrol-Troop C,1556496000000,190235101,1,0,0,1,Personal Injury,WARREN,NON-CITY OR UNINCORPORATED,C,1,1,0,1837,0.35,B ,W ,RT M,CRD FRUIT FARM RD,Dark-Unlighted,Animal,1,,Mon     ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38.79489,-91.03585,0,04/29/2019,20:25:00,VEHICLE 1 WAS TRAVELING WESTBOUND ON ROUTE M AND STRUCK A DEER WHICH CAUSED VEHICLE TO OVERTURNED AND DRIVER 1 WAS EJECTED.
1193364,3190010836,Missouri State Highway Patrol-Troop F,1556496000000,190235170,1,0,1,0,Personal Injury,GASCONADE,NON-CITY OR UNINCORPORATED,F,1,1,0,3695,0.7,B ,S ,MO 19,CRD FRENE CREEK RD,Dark-Unlighted,Overturn,2,,Mon     ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.66652,-91.44315,0,04/29/2019,21:30:00,OCCURRED AS VEHICLE 1 TRAVELED OFF THE LEFT SIDE OF THE ROADWAY AND OVERTURNED.
912678,3190011143,Missouri State Highway Patrol-Troop D,1556496000000,190235222,1,0,1,0,Personal Injury,POLK,NON-CITY OR UNINCORPORATED,D,1,1,0,348,0.07,A ,E ,CRD E 455TH RD,CRD 140TH RD,Dark-Unlighted,Fixed Object,2,,Mon     ,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37.58936,-93.37635,0,04/29/2019,22:40:00,VEHICLE 1 RAN OFF THE ROADWAY AND STRUCK A UTILITY POLE.
845892,3190011252,Missouri State Highway Patrol-Troop A,1556582400000,190235286,1,0,1,0,Personal Injury,JOHNSON,NON-CITY OR UNINCORPORATED,A,1,1,0,15,0,B ,N,MO 23,CRD NE 900TH RD,Dark-Unlighted,Fixed Object,2,,Tue     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8862,-93.56341,0,04/30/2019,00:01:00,"CRASH OCCURRED AS VEHICLE 1 FAILED TO NEGOTIATE A CURVE TO THE RIGHT. VEHICLE 1 TRAVELED OFF THE RIGHT SIDE OF THE ROADWAY AND STRUCK THE DITCH. AFTER IMPACT, VEHICLE 1 RETURNED TO THE ROADWAY AND WAS DRIVEN TO A CONTROLLED STOP BY DRIVER 1. ASSISTED BY THE JOHNSON COUNTY SHERIFF'S DEPARTMENT."
1120758,3190011221,Missouri State Highway Patrol-Troop E,1556582400000,190235333,1,0,1,0,Personal Injury,IRON,NON-CITY OR UNINCORPORATED,E,1,1,0,554,0.1,B ,W ,CRD 6,CRD 6A,Dark-Unlighted,Fixed Object,2,,Tue     ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37.64794,-90.66533,0,04/30/2019,03:32:00,CRASH OCCURRED AS VEHICLE 1 RAN OFF THE ROADWAY AND STRUCK A BRIDGE RAIL.
826536,3190011156,Missouri State Highway Patrol-Troop A,1556582400000,190235351,0,1,0,0,Fatal,PLATTE,NON-CITY OR UNINCORPORATED,A,1,1,0,1272,0.24,B ,S ,IS 29,CRD NORTH AMERICAN AVE,Dark-Unlighted,Fixed Object,2,,Tue     ,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39.42244,-94.78988,1,04/30/2019,05:39:00,***FATAL CRASH*** LATE DEATH*** NEXT OF KIN NOTIFIED*** TROOP A FATAL CRASH #29 AND FATALITY #34 FOR 2019***  CRASH OCCURRED AS VEHICLE 1 TRAVELED OFF ROADWAY AND STRUCK A TREE. DRIVER PRONOUNCED ON 05/08/2019 AT 1528 BY DR ASHLEY HOLLY AT NORTH KANSAS CITY HOSPITAL.
1201081,3190011604,Missouri State Highway Patrol-Troop F,1556582400000,190235789,1,0,1,0,Personal Injury,CAMDEN,NON-CITY OR UNINCORPORATED,F,2,2,0,142,0.03,A ,W ,US 54,BRIDGE A5753,Daylight,Motor Vehicle in Transport,1,60,Tue     ,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,37.99741,-92.78765,0,04/30/2019,10:15:00,VEHICLE 1 WAS OVERTAKING A CONSTRUCTION CREW.  VEHICLE 2 CROSSED THE CENTER LINE TO AVOID THE CONSTRUCTION CREW AND STRUCK VEHICLE 1.  ASSISTED BY TPR M.R. LAWSON (831)
1202051,3190011522,Missouri State Highway Patrol-Troop F,1556582400000,190235872,2,0,2,0,Personal Injury,CAMDEN,CAMDENTON,F,2,2,0,1737,0.33,B ,N,BU 5,CRD PIER THIRY ONE RD,Daylight,Motor Vehicle in Transport,1,64,Tue     ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38.02668,-92.76786,0,04/30/2019,10:57:00,CRASH OCCURRED AS VEHICLE 1 MADE A LEFT TURN AND WAS STRUCK BY VEHICLE 2.
1229669,3190011483,Missouri State Highway Patrol-Troop C,1556582400000,190236117,2,0,2,0,Personal Injury,LINCOLN,NON-CITY OR UNINCORPORATED,C,2,2,0,0,0,AT,S ,MO 47,PVT AUTUMN OAKS DR,Daylight,Motor Vehicle in Transport,1,64,Tue     ,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38.98911,-90.92329,0,04/30/2019,13:25:00,VEHICLE 2 WAS EASTBOUND ON HIGHWAY 47 AND BEGAN TO HYDROPLANE ON THE WET ROADWAY.  VEHICLE 2 THEN CROSSED THE CENTER LINE AND STRUCK THE FRONT OF WESTBOUND VEHICLE 1.
1333941,3190012728,Missouri State Highway Patrol-Troop G,1556582400000,190236121,1,0,1,0,Personal Injury,WRIGHT,NON-CITY OR UNINCORPORATED,G,1,1,0,8448,1.6,A ,E ,US 60,RP 2192,Daylight,Fixed Object,2,,Tue     ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,37.11087,-92.44892,0,04/30/2019,14:12:00,ACCIDENT OCCURRED AS VEHICLE TRAVELED OFF OF RIGHT SIDE OF ROADWAY AND STRUCK A DITCH.
1210853,3190010764,Missouri State Highway Patrol-Troop C,1556582400000,190236125,1,0,1,0,Personal Injury,ST. LOUIS,MANCHESTER,C,2,2,0,264,0.05,B ,E ,CRD BIG BEND RD,CST BOLY LN,Daylight,Motor Vehicle in Transport,1,61,Tue     ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,38.5678,-90.50546,0,04/30/2019,13:28:00,DRIVER #1 BACKED VEHICLE #1 FROM A PRIVATE DRIVE INTO THE PATH OF VEHICLE #2.
1257951,3190011379,Missouri State Highway Patrol-Troop C,1556582400000,190236137,1,0,1,0,Personal Injury,ST. LOUIS,HAZELWOOD,C,1,1,0,623,0.12,B ,W ,IS 270,RP 227999,Daylight,Fixed Object,2,,Tue     ,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,38.78041,-90.38385,0,04/30/2019,13:32:00,DRIVER #1 LOST CONTROL ON THE WET ROADWAY CAUSING VEHICLE #1 TO STRIKE THE MEDIAN WALL. ASSISTED BY HAZELWOOD PD AND TPR. B.A. COLLINS (197)
984906,3190011441,Missouri State Highway Patrol-Troop D,1556582400000,190236176,2,0,2,0,Personal Injury,TANEY,NON-CITY OR UNINCORPORATED,D,2,2,0,84,0.02,B ,W ,MO 76,CRD ORLANDO RD,Daylight,Motor Vehicle in Transport,1,61,Tue     ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,36.65094,-93.10156,0,04/30/2019,13:57:00,CRASH OCCURRED AS VEH 1 DROVE INTO THE REAR OF VEH 2 AS VEH 2 SLOWED FOR TRAFFIC.
929333,3190010794,Missouri State Highway Patrol-Troop D,1556582400000,190236246,1,0,1,0,Personal Injury,STONE,BLUE EYE,D,1,1,0,1100,0.21,B ,S ,PVT PEACE IN THE VALLEY RD,PVT MORNING SIDE FALLS BLVD,Daylight,Fixed Object,2,,Tue     ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5179,-93.38205,0,04/30/2019,14:34:00,"CRASH OCCURRED AS VEHICLE 1 TRAVELED OFF RIGHT SIDE OF ROADWAY, DRIVER 1 OVERCORRECTED, VEHCILE 1 TRAVELED OFF LEFT SIDE OF ROADWAY DOWN A STEEP EMBANKMENT."
1509235,3190010888,Missouri State Highway Patrol-Troop H,1556582400000,190236373,1,0,0,1,Personal Injury,NODAWAY,NON-CITY OR UNINCORPORATED,H,1,1,0,37,0.01,B ,E ,US 136,CRD 282ND STREET,Daylight,Fixed Object,2,,Tue     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40.31079,-94.67663,0,04/30/2019,16:05:00,"CRASH OCCURRED AS VEH 1 WAS SOUTHBOUND ON US 136. VEH 1 TRAVELED OFF THE WEST SIDE OF THE ROADWAY, BECAME AIRBORNE OVER A DRAINAGE DITCH AND STRUCK AN EMBANKMENT. VEH 1 OVERTURNED AND CAME TO REST ON IT'S PASSENGER SIDE IN DITCH. ASSISTED BY TPR. A.J. KEMPA (761), NODAWAY COUNTY, RAVENWOOD FIRE, AND MARYVILLE FIRE."
1017806,3190011177,Missouri State Highway Patrol-Troop D,1556582400000,190236398,1,0,1,0,Personal Injury,NEWTON,NON-CITY OR UNINCORPORATED,D,1,1,0,42,0.01,A ,N,IS 49,RT V,Daylight,Fixed Object,2,,Tue     ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36.99669,-94.43129,0,04/30/2019,16:18:00,CRASH OCCURRED AS VEH 1 HYDROPLANES ON WET ROADWAY AND STRUCK A BRIDGE RAIL.
887208,3190013307,Missouri State Highway Patrol-Troop A,1556582400000,190236399,0,3,0,0,Fatal,RAY,NON-CITY OR UNINCORPORATED,A,1,1,0,3168,0.6,A ,E ,RT D,RT C EJ,Daylight,Overturn,2,,Tue     ,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39.44206,-94.14292,1,04/30/2019,16:13:00,"****FATALITY CRASH - NEXT OF KIN NOTIFIED**** TROOP AT FATAL CRASH # 25 AND FATALITIES 28, 29, AND 30 FOR 2019**** CRASH OCCURRED AS VEHICLE 1 TRAVELED OFF THE RIGHT SIDE OF ROADWAY, OVERTURNED, STRUCK A TREE, AND CAUGHT FIRE. ALL THREE OCCUPANTS PRONOUNCED ON SCENE BY RAY COUNTY CORONER BARTLETT WILLIM AT 1632. ASSISTED BY CPL D J KLINE /765/, TPR T K LEFTWICH /862/, TPR A D NEIGHBORS /1393/, AND RAY COUNTY SHERIFF'S DEPARTMENT."
1269317,3190011183,Missouri State Highway Patrol-Troop C,1556582400000,190236417,1,0,1,0,Personal Injury,JEFFERSON,NON-CITY OR UNINCORPORATED,C,1,1,0,58,0.01,A ,N,US 61,PVT FALCON DR,Daylight,Fixed Object,2,,Tue     ,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38.37849,-90.37185,0,04/30/2019,16:25:00,"VEHICLE #1 WAS TRAVELING IN THE LEFT LANE OF SOUTHBOUND US 61.  CRASH OCCURRED AS DRIVER #1 FAILED TO NEGOTIATE A CURVE TO THE RIGHT.  VEHICLE #1 TRAVELED ACROSS THE DOUBLE-YELLOW CENTERLINE, OFF THE LEFT SIDE OF THE ROADWAY AND THE FRONT RIGHT OF VEHICLE #1 STRUCK A GUY WIRE.  VEHICLE #1 CONTINUED IN ITS PATH, DOWN AN EMBANKMENT AND THE FRONT OF VEHICLE #1 STRUCK SEVERAL TREES."
1269320,3190011254,Missouri State Highway Patrol-Troop C,1556582400000,190236456,1,0,1,0,Personal Injury,JEFFERSON,NON-CITY OR UNINCORPORATED,C,2,2,0,601,0.11,B ,E ,CRD WEST ROCK CREEK RD,BRIDGE A3101,Daylight,Motor Vehicle in Transport,1,60,Tue     ,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38.43746,-90.46443,0,04/30/2019,16:45:00,"VEHICLE #1 WAS TRAVELING EB WEST ROCK CREEK RD. VEHICLE #2 WAS TRAVELING WB WEST ROCK CREEK RD. DRIVER #2 LOST CONTROL OF VEHICLE #2 ON THE WET ASPHALT,  TRAVELED INTO THE EASTBOUND LANE, AND STRUCK VEHICLE #1 HEARD ON."
1257952,3190010833,Missouri State Highway Patrol-Troop C,1556582400000,190236593,1,0,1,0,Personal Injury,ST. LOUIS,HAZELWOOD,C,2,2,0,802,0.15,B ,W ,IS 270,US 67,Daylight,Motor Vehicle in Transport,1,63,Tue     ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,38.77788,-90.35717,0,04/30/2019,18:17:00,VEHICLE 1 WAS TRAVELING IN LANE 2 AND VEHICLE 2 WAS TRAVELING IN LANE 3. DRIVER 1 CHANGED LANES TO THE LEFT AND STRUCK THE LEFT SIDE OF VEHICLE 2.
1196843,3190011385,Missouri State Highway Patrol-Troop B,1556582400000,190236750,2,0,2,0,Personal Injury,MACON,NON-CITY OR UNINCORPORATED,B,1,1,0,190,0.04,B ,N,US 63,CRD LANDMARK ST,Dark-Unlighted,Overturn,2,,Tue     ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39.93989,-92.47694,0,04/30/2019,20:49:00,"VEH 1 HYDROPLANED ON ROADWAY, TRAVELED INTO THE MEDIAN AND OVERTURNED COMING TO REST ON ITS TOP."
